,airline_sentiment,airline,text,user_timezone
1,neutral,Virgin America,@VirginAmerica What @dhepburn said.,Eastern Time (US & Canada)
2,positive,Virgin America,@VirginAmerica plus you've added commercials to the experience... tacky.,Pacific Time (US & Canada)
3,neutral,Virgin America,@VirginAmerica I didn't today... Must mean I need to take another trip!,Central Time (US & Canada)
4,negative,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",Pacific Time (US & Canada)
5,negative,Virgin America,@VirginAmerica and it's a really big bad thing about it,Pacific Time (US & Canada)
6,negative,Virgin America,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",Pacific Time (US & Canada)
7,positive,Virgin America,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",Pacific Time (US & Canada)
8,neutral,Virgin America,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",Pacific Time (US & Canada)
9,positive,Virgin America,"@virginamerica Well, I didn't…but NOW I DO! :-D",Pacific Time (US & Canada)
10,positive,Virgin America,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",Eastern Time (US & Canada)
11,neutral,Virgin America,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,Eastern Time (US & Canada)
12,positive,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,America/New_York
13,positive,Virgin America,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,America/New_York
14,positive,Virgin America,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,Eastern Time (US & Canada)
15,positive,Virgin America,@VirginAmerica Thanks!,Pacific Time (US & Canada)
16,negative,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.,Pacific Time (US & Canada)
17,positive,Virgin America,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,Pacific Time (US & Canada)
18,negative,Virgin America,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,Eastern Time (US & Canada)
19,positive,Virgin America,I ❤️ flying @VirginAmerica. ☺️👍,Atlantic Time (Canada)
20,positive,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,Quito
21,negative,Virgin America,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,NA
23,positive,Virgin America,@VirginAmerica I love the hipster innovation. You are a feel good brand.,Pacific Time (US & Canada)
24,neutral,Virgin America,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,Eastern Time (US & Canada)
25,negative,Virgin America,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,Mountain Time (US & Canada)
26,negative,Virgin America,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,NA
27,negative,Virgin America,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,NA
28,neutral,Virgin America,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,Central Time (US & Canada)
31,negative,Virgin America,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",Vienna
32,neutral,Virgin America,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,Pacific Time (US & Canada)
34,negative,Virgin America,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",Pacific Time (US & Canada)
36,neutral,Virgin America,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,Caracas
37,positive,Virgin America,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,NA
38,positive,Virgin America,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",NA
39,neutral,Virgin America,@VirginAmerica when can I book my flight to Hawaii??,Pacific Time (US & Canada)
40,negative,Virgin America,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,Pacific Time (US & Canada)
41,positive,Virgin America,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",NA
42,negative,Virgin America,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",Central Time (US & Canada)
44,neutral,Virgin America,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,Pacific Time (US & Canada)
45,neutral,Virgin America,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,NA
46,positive,Virgin America,@VirginAmerica I'm #elevategold for a good reason: you rock!!,NA
47,neutral,Virgin America,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,NA
48,positive,Virgin America,@VirginAmerica wow this just blew my mind,Atlantic Time (Canada)
49,neutral,Virgin America,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,Eastern Time (US & Canada)
50,neutral,Virgin America,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,NA
51,neutral,Virgin America,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",Central Time (US & Canada)
52,positive,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,Eastern Time (US & Canada)
53,neutral,Virgin America,@VirginAmerica wish you flew out of Atlanta... Soon?,Eastern Time (US & Canada)
54,neutral,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,Atlantic Time (Canada)
55,neutral,Virgin America,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,NA
56,negative,Virgin America,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,Eastern Time (US & Canada)
57,positive,Virgin America,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,Pacific Time (US & Canada)
58,positive,Virgin America,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,Kuala Lumpur
59,neutral,Virgin America,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,NA
60,neutral,Virgin America,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,Brisbane
61,neutral,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,Arizona
62,negative,Virgin America,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,Eastern Time (US & Canada)
64,neutral,Virgin America,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",Eastern Time (US & Canada)
65,positive,Virgin America,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,NA
66,neutral,Virgin America,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,Central Time (US & Canada)
67,negative,Virgin America,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,Pacific Time (US & Canada)
68,negative,Virgin America,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",Eastern Time (US & Canada)
69,positive,Virgin America,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,Pacific Time (US & Canada)
71,neutral,Virgin America,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,Eastern Time (US & Canada)
72,neutral,Virgin America,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,NA
73,neutral,Virgin America,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",London
74,negative,Virgin America,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,NA
76,positive,Virgin America,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,Mountain Time (US & Canada)
77,neutral,Virgin America,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",Eastern Time (US & Canada)
78,neutral,Virgin America,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,Mountain Time (US & Canada)
79,negative,Virgin America,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,NA
80,neutral,Virgin America,@VirginAmerica what happened to Doom?!,NA
81,negative,Virgin America,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,Pacific Time (US & Canada)
82,positive,Virgin America,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,Pacific Time (US & Canada)
83,negative,Virgin America,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,NA
84,negative,Virgin America,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,Pacific Time (US & Canada)
85,negative,Virgin America,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,Pacific Time (US & Canada)
87,neutral,Virgin America,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,Eastern Time (US & Canada)
88,neutral,Virgin America,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,NA
89,neutral,Virgin America,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,Arizona
90,negative,Virgin America,@VirginAmerica Why is the site down?  When will it be back up?,Arizona
91,neutral,Virgin America,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",Pacific Time (US & Canada)
92,neutral,Virgin America,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",NA
93,negative,Virgin America,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,NA
94,negative,Virgin America,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",Pacific Time (US & Canada)
95,neutral,Virgin America,@VirginAmerica why is flight 345 redirected?,NA
96,negative,Virgin America,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",Arizona
97,negative,Virgin America,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,Mountain Time (US & Canada)
98,negative,Virgin America,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,NA
99,negative,Virgin America,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,Eastern Time (US & Canada)
100,negative,Virgin America,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,Quito
101,neutral,Virgin America,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,NA
102,negative,Virgin America,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,Pacific Time (US & Canada)
103,neutral,Virgin America,@VirginAmerica check out new music http://t.co/maRcnOCWzn,NA
105,negative,Virgin America,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,Pacific Time (US & Canada)
106,positive,Virgin America,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",Pacific Time (US & Canada)
110,positive,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",Eastern Time (US & Canada)
111,neutral,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",Central Time (US & Canada)
112,positive,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",Central Time (US & Canada)
113,neutral,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",Central Time (US & Canada)
114,positive,Virgin America,@VirginAmerica Have a great week 🌞✈,NA
115,positive,Virgin America,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,Eastern Time (US & Canada)
117,positive,Virgin America,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",Eastern Time (US & Canada)
118,positive,Virgin America,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,NA
119,positive,Virgin America,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,Pacific Time (US & Canada)
120,positive,Virgin America,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",Eastern Time (US & Canada)
121,negative,Virgin America,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,Pacific Time (US & Canada)
122,negative,Virgin America,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",Pacific Time (US & Canada)
123,negative,Virgin America,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,NA
124,positive,Virgin America,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,NA
126,neutral,Virgin America,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",Eastern Time (US & Canada)
128,positive,Virgin America,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,NA
130,neutral,Virgin America,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,NA
131,negative,Virgin America,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,Eastern Time (US & Canada)
132,negative,Virgin America,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,NA
133,neutral,Virgin America,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,Pacific Time (US & Canada)
134,negative,Virgin America,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,NA
135,negative,Virgin America,@VirginAmerica Another delayed flight? #likingyoulessandless,Alaska
136,negative,Virgin America,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,Pacific Time (US & Canada)
137,positive,Virgin America,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,Mountain Time (US & Canada)
138,neutral,Virgin America,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",NA
139,positive,Virgin America,@VirginAmerica always!!! Xoxo,Pacific Time (US & Canada)
140,negative,Virgin America,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,Eastern Time (US & Canada)
141,negative,Virgin America,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,Alaska
142,positive,Virgin America,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,NA
143,neutral,Virgin America,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,Eastern Time (US & Canada)
144,negative,Virgin America,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,Eastern Time (US & Canada)
145,positive,Virgin America,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,Pacific Time (US & Canada)
146,negative,Virgin America,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",Pacific Time (US & Canada)
147,negative,Virgin America,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,Pacific Time (US & Canada)
149,positive,Virgin America,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,Eastern Time (US & Canada)
150,negative,Virgin America,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,Pacific Time (US & Canada)
