"Response","tweets"
"positive","i collected new artwork in layer up   a unique  stained glass  art puzzle     download now on the appstore   https   t co ixdjho9sgw"
"positive","why is it the people who want to upgrade their phone as soon as a new model releases are the ones who have no idea  https   t co q1zxdxna7u"
"neutral","what to do when your toddler disables your ipad for 47 5 years    insanenews  apple  ipad  ipadmini  iphone  https   t co j6l1btjb8n"
"positive","iphone 7 won t turn on  looking for a screen repair replacement  we have you covered at mobilesentrix    https   t co x4n1jmpdyy"
"positive","if my  airpods and  iphone had  alexa99  they d literally be perfect "
"neutral","iphone 8 plus 256gb neverlock   18500 uah    iphone  iphonepoltava https   t co 1zwtjhwxjc"
"positive","iphone 7 won t turn on  looking for a screen repair replacement  we have you covered at mobilesentrix    https   t co bbf4okt1ct"
"neutral","for some small businesses  instagram has replaced word of mouth https   t co opclkbpmok   fashion  datascience  https   t co idrws5rhou"
"positive","for iphone x xs max xr shockproof plating clear slim hybrid bumper case cover price   4 95 buy at ebay here   https   t co g3o9dfwian"
"positive","2019 iphone lineup rumored to include two new models with triple lens cameras via  macrumors  iphone  https   t co 5bui1uxgiq"
"positive","hey guys  fire tablets https   t co 2ij5ontciy  shopping  price  money  coupon  car  tv  video  aws  prime  https   t co fg3je0weqy"
"positive","opinion   it s your  iphone   why can t you fix it yourself    the new york times   nytimes   https   t co gwy4kvqgkk"
"positive","  apple has cut  iphone prices in  china by nearly 6  in order to boost sales after seeing a lower than expected re  https   t co xsxkak765w"
"negative","  apple    tim cook  i hope this is not the new  iphone it looks horrible  stoptheleaks  https   t co 5ar1pjwqzq"
"positive","get the new  brainwave  meditation  app for  iphone  ios https   t co pu7ucutxbn  meditationmusic"
"positive","what  apps are you using today  enjoy your day on your  iphone and  android devices and let us know what apps you love   iuta  mobile"
"positive","have fun while learning to add game https   t co oc9g5a9nkv  math  techtalk  iphone  mathchat  teachers  tech  algebra  edtech  edchat"
"positive","we would like to wish you an amazing day  make every minute count  tls  today  iphone  accessories  news  life  https   t co nrv6ga8o0d"
"positive","movie casting jobs in  atlanta https   t co tfm2vdl0cf  free on  iphone   android  and  amazon  appstore   casting  https   t co anmcakapo4"
"positive"," rt for  iphone   fav for  android   followme for  desktop"
"positive","2019 iphone lineup rumored to include two new oled models with triple lens cameras https   t co qsybtczdft via  https   t co i9t8ftqxtu"
"positive","hey guys  kindle e reader https   t co rpgttodmsn  shopping  price  car  money  coupon  tv  video  aws  prime  https   t co 7ybtxhjqy4"
"positive","welcome welcome   single by warnp  warnp  therealwarnp  philosopherentertainment  philosopherent itunes   https   t co irj4aq8vml"
"negative"," ios6  iphone  developer looking for  job  hiring  check  jobely https   t co eia7ofrfrh"
"neutral","price drop   starmap 3d  on sale for  iphone  ipad  1 99  gt  gt   0 99 https   t co xsoyv2g6et https   t co c4xwzkvbkz"
"neutral","report  86  of american teenagers will choose an iphone for as their next mobile phone  iphone  apple  https   t co cezpiooeec"
"negative","latest 2019  apple  iphone rumors point to triple cameras and  usbc connectivity https   t co tbgvxlryh8 via  hothardware  aapl"
"positive","love this  osnap from  origiful         stopmotion  stopmotionanimation  timelapse  ios  iphone  lightbox https   t co 9mktn7i5kn"
"positive","love this  osnap from  origiful         stopmotion  stopmotionanimation  timelapse  ios  iphone  lightbox https   t co wsvocpgpjb"
"positive","rt  jwa 2016   disney  mickey  amp   minnie  mouse  clear  silcone  gel  phone  cases for  iphone 6 6s https   t co tvwkep01st  shopnow  shoppi "
"neutral","can someone explain what s happening to my wife s iphone   iphone  applesupport  apple https   t co 8mzmemduha"
"neutral","totalav daily is out    apple fixes ios12 updates    https   t co gyypuynxd7  lt  click here to read     cyber  https   t co avkuruxtrq"
"neutral"," apple  tim cook  applesupport  applemusic  pplease bring back the 3 5mm headphone jack    ipod  iphonexsmax  iphonexr  iphone  iphone7plus"
