"","airline_sentiment","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","text","tweet_coord","tweet_location","user_timezone"
"1","neutral",1,NA,NA,"Virgin America","@VirginAmerica What @dhepburn said.",NA,NA,"Eastern Time (US & Canada)"
"2","positive",0.3486,NA,0,"Virgin America","@VirginAmerica plus you've added commercials to the experience... tacky.",NA,NA,"Pacific Time (US & Canada)"
"3","neutral",0.6837,NA,NA,"Virgin America","@VirginAmerica I didn't today... Must mean I need to take another trip!",NA,"Lets Play","Central Time (US & Canada)"
"4","negative",1,"Bad Flight",0.7033,"Virgin America","@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",NA,NA,"Pacific Time (US & Canada)"
"5","negative",1,"Can't Tell",1,"Virgin America","@VirginAmerica and it's a really big bad thing about it",NA,NA,"Pacific Time (US & Canada)"
"6","negative",1,"Can't Tell",0.6842,"Virgin America","@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",NA,NA,"Pacific Time (US & Canada)"
"7","positive",0.6745,NA,0,"Virgin America","@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",NA,"San Francisco CA","Pacific Time (US & Canada)"
"8","neutral",0.634,NA,NA,"Virgin America","@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",NA,"Los Angeles","Pacific Time (US & Canada)"
"9","positive",0.6559,NA,NA,"Virgin America","@virginamerica Well, I didn't…but NOW I DO! :-D",NA,"San Diego","Pacific Time (US & Canada)"
"10","positive",1,NA,NA,"Virgin America","@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",NA,"Los Angeles","Eastern Time (US & Canada)"
"11","neutral",0.6769,NA,0,"Virgin America","@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24",NA,"1/1 loner squad","Eastern Time (US & Canada)"
"12","positive",1,NA,NA,"Virgin America","@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D",NA,"NYC","America/New_York"
"13","positive",1,NA,NA,"Virgin America","@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p",NA,"NYC","America/New_York"
"14","positive",0.6451,NA,NA,"Virgin America","@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn",NA,NA,"Eastern Time (US & Canada)"
"15","positive",1,NA,NA,"Virgin America","@VirginAmerica Thanks!",NA,"San Francisco, CA","Pacific Time (US & Canada)"
"16","negative",0.6842,"Late Flight",0.3684,"Virgin America","@VirginAmerica SFO-PDX schedule is still MIA.",NA,"palo alto, ca","Pacific Time (US & Canada)"
