tweet,sentiment_value,sentiment,range,airline,timezone
@VirginAmerica What @dhepburn said.,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica plus you've added commercials to the experience... tacky.,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica I didn't today... Must mean I need to take another trip!,0,neutral,C,Virgin America,Central Time (US & Canada)
"@VirginAmerica it's really aggressive to blast obnoxious \\\""entertainment\\\"" in your guests' faces &amp; they have little recourse",-58.9361568838289,negative,A,Virgin America,Pacific Time (US & Canada)
@VirginAmerica and it's a really big bad thing about it,-28.4604989415154,negative,B,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",-4.99230176602706,negative,B,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",27.1108834234519,positive,D,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",-2.02072594216369,negative,B,Virgin America,Pacific Time (US & Canada)
"@virginamerica Well, I didn't…but NOW I DO! :-D",28.2842712474619,positive,D,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",16.6666666666667,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,-32.2748612183951,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,33.5410196624968,positive,D,Virgin America,America/New_York
@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,28.347335475692,positive,D,Virgin America,America/New_York
@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,20,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica Thanks!,42.4264068711928,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica SFO-PDX schedule is still MIA.,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America.,60.5554645404879,positive,E,Virgin America,Pacific Time (US & Canada)
@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,11.766968108291,positive,D,Virgin America,Eastern Time (US & Canada)
I ❤️ flying @VirginAmerica. ☺️👍,5.77350269189626,positive,D,Virgin America,Atlantic Time (Canada)
@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,1.76776695296637,positive,D,Virgin America,Quito
@VirginAmerica I love the hipster innovation. You are a feel good brand.,61.2372435695795,positive,E,Virgin America,Pacific Time (US & Canada)
@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,-18.0277563773199,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,-18.8982236504614,negative,B,Virgin America,Mountain Time (US & Canada)
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,-44.7213595499958,negative,B,Virgin America,Central Time (US & Canada)
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",0,neutral,C,Virgin America,Vienna
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,0,neutral,C,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",12.5,positive,D,Virgin America,Pacific Time (US & Canada)
Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,15.0755672288882,positive,D,Virgin America,Caracas
@VirginAmerica when can I book my flight to Hawaii??,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,-12.9099444873581,negative,B,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",26.5165042944955,positive,D,Virgin America,Central Time (US & Canada)
@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires?,45,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica wow this just blew my mind,18.8982236504614,positive,D,Virgin America,Atlantic Time (Canada)
@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,18.9736659610103,positive,D,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows \\\""On Time\\\"" not \\\""In Flight\\\"". Thanks.",0,neutral,C,Virgin America,Central Time (US & Canada)
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,37.442263245203,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica wish you flew out of Atlanta... Soon?,30.2371578407382,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,0,neutral,C,Virgin America,Atlantic Time (Canada)
@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica you know it. Need it on my spotify stat,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,0,neutral,C,Virgin America,Kuala Lumpur
@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,40,positive,D,Virgin America,Brisbane
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,0,neutral,C,Virgin America,Arizona
@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,16.6410058867569,positive,D,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",-16.6666666666667,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,0,neutral,C,Virgin America,Central Time (US & Canada)
@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,0,neutral,C,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",23.094010767585,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,68.8247201611685,positive,E,Virgin America,Pacific Time (US & Canada)
@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,0,neutral,C,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",0,neutral,C,Virgin America,London
@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,42.4264068711928,positive,D,Virgin America,Mountain Time (US & Canada)
"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",13.3630620956212,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,4.08248290463863,positive,D,Virgin America,Mountain Time (US & Canada)
@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue,25,positive,D,Virgin America,Pacific Time (US & Canada)
